month,n_obs,r2,ma_dev_3,ma_dev_5,ma_dev_10,ma_dev_20,ma_dev_50,ma_dev_100,ma_dev_200,ma_dev_400,ma_dev_600,ma_dev_800,ma_dev_1000
2010-09-30,388,0.10778917657470133,1.456134604239196,-0.854135905783483,0.8015707880148344,-0.4522983795501997,0.42497057940034555,-0.41570763719230724,0.34351787115115906,-0.10539773604797441,-0.28913938274106626,0.35000761140722486,-0.1695367714263076
2010-10-31,389,0.1453775983869139,-1.668343761107587,2.8995971194526,-2.475221470596378,1.2914112881764033,-0.5073561405576592,0.19905706036302517,7.473367103825195e-05,0.0023091353816427768,-0.22881711259691875,0.274133331259005,-0.14203423913199634
2010-11-30,390,0.27915118377200066,-0.2605078336250271,-0.5022431862422201,0.8935935502049623,-0.37756019881336167,0.6673031565959047,-0.9057977660716252,0.6211637435340618,-0.08535136729997114,-0.05609119740144867,0.007881812485392237,0.03565587584252718
2010-12-31,390,0.07360757842437615,0.3929464735764734,-0.5123058816993914,-0.8962877571286954,0.5200220723793458,0.06031315969522184,-0.4022372364876385,0.2929910811867853,0.17081479745081196,-0.3262555001028505,0.3118533756467748,-0.16147170994728904
2011-01-31,390,0.0704568431210224,0.8440258364335906,-0.9971470326710684,0.5852644339458352,-0.43259886271552445,0.49056238817026343,-0.3564725961296541,0.08502638531837751,-0.32026270176300614,0.22270416993134684,0.03460273242760519,-0.02913049039548076
2011-02-28,390,0.061309020108184176,-0.24763010513343708,0.9069280968780147,-0.025615064922778465,-0.15275038227493531,-0.04386279923740248,0.2710149892918302,-0.11228188664707195,-0.011784748411736006,0.04585885420446685,-0.04979968948204518,0.0034523534284823312
2011-03-31,392,0.1096634858045592,-1.2556013247062794,2.0261398574647775,-1.8260116716340113,0.9955151108596993,-0.6699289426195323,0.2611966098418155,-0.06498060967102388,0.32056733195911535,-0.17006797498971865,0.001830849156144343,-0.017778014813434634
2011-04-30,395,0.18365838159910464,1.5675446502641865,-2.2179680987323653,2.5042918382991357,-1.298509881455569,0.0202512510535174,-0.06185595079609005,0.20912689218662747,-0.22634912499506812,0.29263336394387157,-0.20705004141016867,0.06395561506029168
2011-05-31,397,0.18320595327501965,-1.2849647939430149,0.6294070429395111,0.7603719550719562,-0.6277096233792931,0.7720504741724379,-0.8185810030112998,0.4961827143944025,-0.22329684177098272,-0.09964164701029452,0.16456060027875233,-0.043557894047359845
2011-06-30,399,0.11948832137640897,3.086138576653769,-2.1654857830110177,-0.5896513103451916,1.7243893918547328,-0.8246500012726363,0.06820907180641142,0.03544819489064029,0.03964916600587077,-0.0390971064329164,-0.027403495173016344,0.01179430859158416
2011-07-31,400,0.23991216705946916,3.64214505517629,-3.4877301645240806,1.5246258042757141,-1.0177426221980905,1.3052520399426286,-1.0168674187702456,0.3070614980889439,-0.16529910184431093,0.10004401998688717,-0.02081053631252283,-0.016167269489471482
2011-08-31,398,0.19842727372004165,-0.977531293590439,0.9710972128980982,0.8499583778862487,0.12931803934587724,-0.5510774519318618,0.4067538743568137,-0.30188102009080764,0.2887907086641348,-0.10612546257974655,-0.08382785158900179,0.014220131658883303
2011-09-30,397,0.2762663801812567,2.5876048698383256,-1.6692045482994307,0.7427928370974969,-0.7805283286609375,0.34433293836353784,-0.21146335954675172,0.3999278755337438,-0.08894771680243897,0.29572924316468185,-0.3687479304452979,0.0314497636877626
2011-10-31,400,0.09975376792168422,0.5390865807356795,-0.5987178123249982,0.6703969992411946,-0.04902807749881967,-0.3705101905201085,0.22962153800942653,-0.1782735878280581,-0.07869609355328308,0.08143071772939398,0.023509096275643834,-0.01739851882943074
2011-11-30,402,0.13643995560613076,-3.7501525126567437,3.1539521293842254,0.5316673708699613,-0.8700863111292747,0.3237552790285862,-0.028438391363174543,-0.11343803745152808,0.12851159924993347,0.04983560544947555,-0.06559653574842098,-0.008929617619350575
2011-12-31,403,0.45177345066425223,-3.6636421428780412,2.3933149460822776,0.2672120741170596,-0.3810385198031405,0.2629707310120364,-0.42318565657543633,0.6556693952811687,-0.40685914027330966,0.9155997131248526,-0.7333067721054551,8.718852425215664e-05
2012-01-31,403,0.09210789815929643,-0.33958079374931,-0.20639733009234287,1.304681906581925,-0.7601445936236522,0.23964686055132556,-0.176580361549738,0.18741231106612088,-0.35679337144210505,0.4546566385498947,-0.30998888817910886,0.05177205971479178
2012-02-29,403,0.1658519329160597,0.523267465437475,-0.8265253711762705,-0.5169831236255181,0.27861773121817524,0.216338497150632,-0.1669918730381955,0.017972438268129973,-0.1909075126971354,0.3920517206308383,-0.2742786005441324,0.015037942530982099
2012-03-31,405,0.1713565207908957,0.0573025328826182,0.793232616850156,-0.9085659438708379,0.2970443747166227,-0.02761457951529459,0.14052203684567977,0.14296533192938404,-0.37311499418032684,0.15345468370693807,-0.06963924146556595,0.05418229108195213
2012-04-30,407,0.23274151186605085,-0.7972535685654234,0.7319576676883314,-0.12535861387457414,0.3844846935426436,-0.8165649601008369,0.02496562908702358,0.5866601350653664,-0.5763994450652338,0.48428208099267145,-0.06536781483206011,-0.11032014512553656
2012-05-31,408,0.08891502394031892,-1.6571648089612911,-0.15812083398421795,0.4593052903282242,0.2350847247374529,-0.09718186722882588,0.1173205997021313,-0.08070917252762802,-0.08801967999021343,0.04215551996640099,0.08232612041585109,-0.010626862866808924
2012-06-30,408,0.0882114777302182,-0.21954851262975786,0.9136999379343641,-1.7865969907147443,0.8492221965116679,-0.026087952328600714,0.14901648465029826,-0.1445412324366525,0.4262573418976302,-0.7845791778539393,0.24874554224008733,0.13708337626170336
2012-07-31,407,0.22811480372035076,1.516728991856437,-0.9080268507934331,0.536990988501708,-0.20097532408538818,-0.27020699307817564,0.49417792445749326,-0.13949193874413487,0.00989974132621203,-0.0014420018730327364,-0.11727397752489396,0.14405590140020175
2012-08-31,407,0.07812905764688971,0.65252811965689,-0.21730042126803772,-0.528065394894214,0.2569023101557385,-0.3484360294199535,0.4267611350879699,-0.21460755938020798,-0.04481906736826065,0.04498168255622974,-0.21572603720668657,0.23815988013146855
2012-09-30,408,0.046486045712126445,0.5900270093774593,0.9386217988586272,-0.4838943186890704,-0.0845027361758664,0.07472173588731548,-0.058872272616132273,-0.15934929666445974,0.10812865414147171,0.1564226018172693,-0.20039431521662174,0.055714501029112795
2012-10-31,408,0.146758983209484,0.11400388808678566,-0.32509099696256194,0.40447261589709516,-0.45301383866198175,0.6282780821973049,-0.4450624228079375,0.18134254850171455,0.005100149756404743,0.2941504350249337,-0.4105081007706924,0.12904290614236325
2012-11-30,408,0.21374793245667267,-0.14911401513666867,1.150541575702012,-1.1349252677369315,0.6692737062749776,0.0558346788431296,-0.30147817395334336,0.32574196105193326,-0.4062597608684986,0.14360434102301722,0.45699132051281616,-0.32822664342108065
2012-12-31,408,0.14020518176507069,-1.0960093970201432,-2.8189998822081,3.454569477731158,-1.3999767463725448,0.5870099268632779,-0.34356502803660405,0.02590508704786547,0.00574966076430462,0.02391854219186859,0.34137041862442324,-0.2922711997268952
2013-01-31,408,0.08150433299020976,0.9382964547246684,-0.4023433232236285,0.3018793735084396,-0.7568604649639465,0.7973385695192263,-0.7160967936206564,0.3607960360696256,0.03512040489983928,-0.3009133890716928,0.24418968642378489,-0.020439756037822596
2013-02-28,408,0.1264231993679702,-1.1013346034778138,0.6206262919967678,-0.4288114499916912,-0.022596019645454934,-0.37773109778733827,0.3056528138028046,-0.22914058685333616,0.23972789642621495,-0.4982735906861338,0.5383023058570472,-0.11491115955866375
2013-03-31,408,0.16596386163115673,0.08420811092051594,0.5739740507899738,-0.5495947612645964,0.21749426856004905,-0.7111380403592873,0.4727380848014771,0.23418526739478646,-0.427937822448388,0.5165261902080869,-0.6902648932166927,0.46523595871541956
2013-04-30,408,0.16350631145847627,0.9445875200533824,1.2649867898863376,-2.6385449203540055,1.5534015255572085,-0.01415821326300417,-0.033704251845377675,0.2930463819440553,-1.1869379766642938,1.6407663940262276,-1.1292500662726486,0.32837318951235955
2013-05-31,408,0.12167280611842246,0.2740177588078062,0.015846572686342264,0.21887398644464512,-0.7865557023383085,0.8558867595520387,-0.6681059958310165,-0.005409251673913054,0.32784161634626013,-0.27619016093822374,0.13490303129144096,-0.05422062750886869
2013-06-30,408,0.07555603748122475,-0.16012734475745627,0.6552033291055238,-0.25542858514634986,0.45462923032736197,-0.29349627940439127,0.3943281988430399,-0.267236076182894,-0.11346600219663674,-0.09373975819839642,0.6587750835880607,-0.4549002883664781
2013-07-31,409,0.07906676472627905,-1.3970554678389955,1.484758700345131,-0.9099846286156321,0.4897197089910643,0.1828280402328192,-0.3258965869120437,0.0369473280860974,-0.18937573595316293,0.6573440907654231,-0.40971840685425925,0.009946199638503388
2013-08-31,409,0.13827191658093585,-0.21647193882112378,1.2948077618483465,-0.5365301408139982,-0.34996242780777587,0.2564109951584913,-0.185161183552272,0.2129831684964409,-0.1832260393215414,-0.3377097608662385,0.640837341699797,-0.3801724522845024
2013-09-30,410,0.09131383420694528,0.3458466435585159,-0.4309538352546774,0.7298689340540029,-0.8172077183888187,0.19885525603901702,0.11642995535884965,0.006407755392449883,-0.06470532472245949,-0.07594664636148912,-0.2830913271991783,0.3176359816863634
2013-10-31,410,0.1379212269416007,0.6054103531913616,0.24010687124511848,-1.2326488603737078,0.5922055717035594,0.16118109681766515,-0.0001692239880275192,0.03635200125445709,-0.020076887644421858,-0.5531813823667993,0.576106532452862,-0.17514462309280232
2013-11-30,412,0.06128972083482698,1.9607454741042383,-1.9573761114807762,0.7442457200191865,-0.3878183119243786,0.08661724774344359,-0.0025993939201620353,0.05520772629178357,0.17902030749599013,-0.5927604848197157,0.7330274273763108,-0.36523282560682147
2013-12-31,413,0.04546613597501614,-2.0211019349133714,0.5357631609034863,1.950858224280418,-0.4121394554378221,-0.4003872139408071,0.15722225890094513,0.02941543676408871,0.19011706706787426,-0.20656178482629073,0.14695837097262177,-0.07388933404742974
2014-01-31,414,0.028741009752624946,-0.3028632052967577,0.07590826228851254,-0.18481692650940115,0.2606237610682687,-0.3671082786071155,0.5072626010554017,-0.3686279345495137,0.29266782332684904,-0.29910941016887643,0.17966051756420776,-0.05844761524680874
2014-02-28,414,0.15520440074745423,-1.68026860069067,0.6779157411374466,0.2551703168419466,-0.3759628624648521,0.23149022219340573,-0.20687768781085483,0.22037852721736237,-0.0004465818726016098,-0.17819837590412127,0.0737269770567326,0.11072654618978134
2014-03-31,414,0.16717919719919627,-0.453389309456417,2.223578420362072,-1.8444206250492627,0.23206171609328788,0.20592461021003358,0.09018693334126003,-0.1558530377722583,0.018465302822077184,0.14505150773607509,-0.13314086252130686,0.11110725090731668
2014-04-30,415,0.0853918284624341,-0.66499428246345,0.5877042930507073,-0.3987328687799052,-0.0920015719001876,0.22780658716693813,-0.08359964590915431,0.11416611145344757,0.002041586074850086,-0.45574044135243746,0.7592569880809915,-0.4248431584318168
2014-05-31,415,0.11140508170076757,-0.46628295700760936,1.9013419995802467,-0.4818283964010718,-0.22670777225913244,-0.1534281793262552,0.19512843683591982,-0.026421548653893567,-0.21537924280797968,-0.012858638250364214,0.016388507266284314,0.1521287234715394
2014-06-30,417,0.05138509465273566,1.8699994079895936,-0.1878021849863676,-0.4039436610365635,0.46711627006668016,-0.021843684502404315,-0.21489658908417172,0.23512776884874936,-0.29210446338226825,0.3037156788859704,-0.15626342897101056,0.04812123525311116
2014-07-31,419,0.08083079949564542,2.000100208917458,-1.805799461399987,0.7501394821629926,-0.5139020627391353,0.2247953213789779,0.1699342130816771,-0.03764960896815999,-0.19918783209621885,0.32785445688973236,-0.22619950306405012,0.03493909853147842
2014-08-31,419,0.0735556276271413,1.0444050367630093,0.12405440165040038,-0.4049218992721076,0.27316998786018115,0.2213127334104259,-0.4260745494640775,0.1529798251334199,-0.02619670291876601,-0.2341431426761055,0.6087313216552603,-0.39414821404598455
2014-09-30,419,0.1263305848079056,0.3023816308496071,0.32043618310132715,-1.5852601857070692,1.4372613409849477,-0.604025955831688,0.09405265176011737,0.14375844910607766,-0.13861620341159425,0.29311022269587317,0.24491496136570204,-0.4237001564950517
2014-10-31,419,0.13929804560310943,-1.2051382012944396,1.1313473896082935,0.07854904407275429,-0.3475350875840179,0.41731276753450464,-0.5979405765018814,0.10342081596531319,0.04496500262632883,-0.17205957942680933,0.4165070275683591,-0.26384977011726796
2014-11-30,421,0.1348894258758695,0.32850057734925703,-0.1279759347055228,-0.7782905744489829,0.8688265851584217,-0.27451328128277647,-0.11690912877302409,-0.20952881715487973,0.34584046811208724,-0.1459219322710935,0.09344203879994757,-0.02151679646466692
2014-12-31,422,0.1073674019301476,2.24980363421987,-3.5239334606725,2.499414236431438,-0.9518530640892088,0.3032769728664252,-0.1787024913955747,0.2184473282826323,-0.6697747571832062,0.34717053977410894,-0.022494850090324855,0.0819336301054004
2015-01-31,422,0.22189094929275244,-0.9907500399523002,0.9392111641861107,-0.06613661278412156,-0.5164116714563975,0.5543882684733056,-0.0418667175306637,-0.25691030492189876,0.6029950256550357,-0.05571833571859451,-0.6873451966475561,0.4030566375170259
2015-02-28,423,0.11099306564210065,0.29574662307591865,0.4868642743459936,-0.8236940214855896,0.6357024051480966,-0.292711748217649,0.1736255307349527,-0.1357410261057164,-0.22402403213560218,0.5263711967420657,-0.12692530121056456,-0.1912333167345161
2015-03-31,426,0.19214233357476096,1.2971484771437571,-0.7090779950859113,-0.2808821548826303,-0.08728606111857094,0.5514520231839678,-0.6590136886148211,0.3019744205552528,0.5594217500771546,-0.7531674215268667,0.7836333290100039,-0.3908011771479286
2015-04-30,426,0.22029300963275777,0.285309201012055,-0.4934760974892108,-0.020615804957275705,0.30827079572202387,-0.005312977673550046,0.18241536871798145,-0.2767797592923726,0.08105859704844318,-0.10850944731329115,-0.03574420736519905,-0.004646994740223211
2015-05-31,426,0.1767410544865482,-0.7365619854141524,0.3145866992227174,1.5233138660643695,-0.9415202461886426,0.5856583567753781,-0.4692492468915059,-0.006539370968435804,-0.3062226035978303,0.44195627580151237,0.2041095772406387,-0.3485019694000211
2015-06-30,427,0.19808378695088757,2.2358989378500342,-3.4482646267361825,2.131499802406288,-0.7073272889339586,-0.051109778591053825,0.07022337555898897,0.38759309662045704,-0.7446415976562688,0.5708686844959839,0.4521184219010828,-0.6542866556166121
2015-07-31,427,0.09122907443781314,0.3552088664226175,-0.4528361916354185,-0.24516042477803418,0.1955685631925888,-0.31818554654704895,0.3422102738379238,0.1072192722729025,-0.3967679998907338,0.5089796570926337,-0.7203256369903748,0.41513054961053214
2015-08-31,427,0.21027816102244234,-0.8449958800086312,0.5662777266895991,0.6452862117147924,-0.3117634689294955,-0.21649781586750885,-0.11856703927555862,0.36329221537612194,-0.11712120319308998,-0.2928327924641803,0.15866583190246564,0.03852730674388276
2015-09-30,427,0.09481995835627799,1.343971552798335,-1.657633171178153,1.1375584349690209,-0.177062899023997,-0.039840705700630086,0.017139992961717983,0.043438900767255664,-0.2880413430832176,0.6716431841674457,-0.5166377164215923,0.15742110362082506
2015-10-31,428,0.08919242604071542,0.7744911769177927,-0.12406973662440629,-0.18497289900122726,-0.18554528770822704,0.1600830632749503,0.007373420153398837,0.04323876601468104,-0.26971097940170247,0.12446000148751918,0.1764081331547906,-0.1454597560689202
2015-11-30,429,0.13020796717074035,-1.0592246285315374,2.1585114281299367,-1.382029743929353,0.3270698273613147,0.21862799231144756,-0.005923965598868491,-0.1548401355628769,0.031907285649963854,-0.1763711127593636,0.08509287929399431,0.0262963509896574
2015-12-31,429,0.18057035506135166,-1.1506215627155885,-0.47364962110394204,2.3906181314588375,-1.5021471131021,-0.049708513599252865,0.6589881664012576,-0.49662107076911083,0.22386076700635069,-0.6418489234009083,0.3740543006717437,0.15521251459956897
2016-01-31,429,0.07648101866289003,0.2607866474509506,0.15321017008236,0.23423328357508755,-0.14333980513587402,-0.21290164419023924,0.1308380258326277,-0.026973296116179393,-0.10466536302747183,0.5253329645394077,-0.7419455544416256,0.3906282115185034
2016-02-29,430,0.2190422155586269,-0.703356222267449,0.7205924203481249,-1.0996552385475316,0.626956628883993,-0.02240925615413196,0.15931397139535577,-0.011122633790426453,-0.35599425163478426,0.5371580504166188,-0.45527109808415167,0.2691115189044629
2016-03-31,430,0.2603544663451114,0.9804965196473089,0.7866545600995865,-0.3173310061198853,-0.23141987601562186,-0.1560974593750279,0.1595427046854198,0.2460425934671873,-0.5907595893588841,1.0826938943829871,-1.2994377973732134,0.7573590170197154
2016-04-30,431,0.08589678435345616,-1.0722021196206366,1.1818596150046619,-1.0612083473304574,1.1837874561950723,-0.5676654370016755,0.04611993359633983,0.08264683826141522,-0.11808295076620469,0.14814840102678806,0.17343548509286638,-0.23864464552794554
2016-05-31,432,0.27958749446139664,2.343717135230416,-3.4448524336212887,1.1705542050564357,0.47240422143197414,-0.7895353169964874,0.9445428949202865,-0.6246960599057535,0.2609541229208081,0.16934094296121105,-0.7099099147094065,0.46770395574235163
2016-06-30,434,0.17402562605984817,1.262855697718384,-2.475890562005015,1.5781266253847588,-0.18074183832235338,0.05569377539150174,-0.1314922368150792,-0.13156431044720307,0.4047772346610998,-0.6098300073476606,0.568771778401609,-0.21068849863054992
2016-07-31,435,0.22599974241453813,0.4893552225437827,-0.9227137150729581,1.687093759286365,-1.6735353589599868,0.9251847469506336,-0.4751598676226667,0.10518620549504468,0.12586532719004173,-0.1783306198973033,0.401543040904928,-0.2609030823931
2016-08-31,435,0.14017099825921675,1.7250218097486485,-0.38253918767043504,0.23798861535325275,-0.1618329637418789,-0.20319969267196306,0.11496380819337461,0.12502517122895565,-0.5441639544211712,0.7466779394605494,-0.07852300098108105,-0.25973850537802956
2016-09-30,435,0.08598769757035418,1.3760750534991468,-2.0241212217471523,0.7972440239752232,0.46454793326506205,-0.6853369657570881,0.0541559870056515,0.3550847387367944,-0.07774656210895539,-0.33955641570101636,0.42469551426819135,-0.13869161555612644
2016-10-31,437,0.2312695869660507,0.26586716511865593,0.6052069438897121,-1.1201106027658825,1.049958566605664,-0.5995414796397178,0.3811668301401892,-0.6554410860524972,0.5696387893858684,-0.9778851347390819,1.246420776286261,-0.445308528261328
2016-11-30,437,0.06759972938836722,1.6036901582480938,-1.7387141751675028,0.31158407847258734,-0.014159319639902678,0.06366637353292444,-0.16007329703230733,0.10978257289887233,-0.038488820868260575,0.2354294852218227,-0.48814918565921045,0.27016017700030387
2016-12-31,438,0.2121093086117597,3.186520172171781,0.4617380610685344,-0.8665103595574736,0.12075051191169672,0.19102639304806895,0.346160233295933,-0.20294546751275674,-0.2133125436511423,0.33185639663846056,0.022369726638255573,-0.11873368147871004
2017-01-31,440,0.11516087602557179,0.2549034146023479,0.7482563742391519,-1.4707888795434725,1.4633658366568791,-0.612020655618039,0.2548593170566884,-0.023161575269180626,-0.08790457995099815,0.38649773861089753,-0.29762530441747154,-0.029403399521849838
2017-02-28,440,0.08901175022145136,-0.6507138873282704,0.9287097430357706,-1.2208217506467811,1.066759702240903,-0.6264536428445818,0.31745912164502454,0.07335871754929299,-0.16194452269919354,-0.1523944711470581,0.5359057154167963,-0.34111396045723263
2017-03-31,440,0.08987570928566335,0.7957475611514493,-0.3891107601770549,0.034575426045612284,0.04171889171313589,-0.2516435762801968,0.015035625229933444,0.07940478461356706,0.08807869612993663,-0.21082990664724552,0.43547695701770006,-0.35851462249207355
2017-04-30,441,0.18881909916952289,0.9648721533637589,-1.557876927303683,1.2376808910047212,-0.8158068481051507,0.3262722820608681,-0.29530153006710663,-0.18777865876979322,0.37925782367629624,-0.5088497262264411,0.7617605215233981,-0.5101466919172947
2017-05-31,441,0.16782851468678328,-1.3000267482984043,2.0668635948407235,-1.495888693504084,1.091960487493115,-0.16167334635169645,0.153190956658444,-0.018498199599524874,-0.1574391746873672,0.5008270546507273,-0.8049260763565212,0.4506435268663067
2017-06-30,444,0.06648600627792978,-0.15421931110020987,1.5267884761749082,-1.368216237470225,0.5988178979490268,-0.15757433634812484,0.35118619097798953,-0.282838372126921,0.16184000653617564,-0.31082995964388477,0.04649160929747009,0.1407183723995437
2017-07-31,444,0.12244736130935396,-0.537997822147993,0.9271761886453548,-0.0818540735704733,-0.20815041541777218,0.12626389527848847,0.14420270136823066,-0.37017572521666886,0.28110431415619286,-0.4844831146606249,0.6855965778112085,-0.38659305359145624
2017-08-31,444,0.1825533144793552,0.8103980339375638,-0.02223006653947157,-1.2199836083737021,0.6649069092263241,0.18432547098700164,-0.5407859520411209,0.6513950923366925,-0.17655529817120433,-0.05384553342220791,-0.22933402619751098,0.2204097067980888
2017-09-30,444,0.16731235380167242,1.3867158403745534,-1.7277286733353892,1.0441004399355949,-0.2349182415645844,0.023850971092165746,-0.04995009343665613,-0.06294572380120687,-0.14490663634144005,0.2724624066470874,-0.25985747422516065,0.03970352870409874
2017-10-31,445,0.11505349112477092,0.9457727374287863,-0.20191648834155296,0.4178797809957687,-0.31009054499527816,0.21148162627707806,-0.33835670097908926,0.0210747895692323,0.0016296058575460627,0.3585403230892589,-0.20587814578371422,0.014348994024688432
2017-11-30,447,0.1888944584619041,-0.6854886153443966,0.5280372071077847,-0.1164760190027923,-0.36687175590828425,0.5299888014592312,-0.6024622402693711,0.2899043741936875,-0.11778927441052746,0.1246797876165486,-0.4751158074838547,0.44968075268773516
2017-12-31,447,0.1450631190556736,0.2891982593971194,1.8436137641637595,0.8279341544844002,-0.8967154585560627,0.0030308847885181095,0.15178460552667866,0.14892648147429838,-0.08210202024837365,-0.4038277909420175,0.45275597984400573,-0.1941506059859785
2018-01-31,447,0.14833169262313073,1.0798064548284403,-1.1686034049010732,0.6899663415923987,-0.825213459148233,0.5130511948554195,-0.17402241752566203,0.08118991782058121,0.15259466616412576,-0.7542589565189554,1.0207913008816059,-0.5505617820427214
2018-02-28,447,0.12567777575811578,-2.506753459691994,1.1825830728566007,0.30276354186621657,-0.3562484551015618,-0.20281526088893057,0.38273245566495917,-0.13940360856046818,-0.12086215613812636,0.44861722757404854,-0.513993957311977,0.23634087598093018
2018-03-31,448,0.08535586674292694,-1.3704467668084495,2.2147044536318474,-0.7591381488563274,-0.3311797196099576,0.27942906272815216,-0.058899985794900966,-0.15769834353679718,0.0635552514440805,0.015723832043078242,-0.014997341582653229,0.07193977653997545
2018-04-30,449,0.14625305154109491,1.9254072962780735,-3.2044412819884616,1.0870993487581564,0.3281001944659952,0.03400609745783518,-0.0782292938460828,-0.1489194245154745,0.38301834588106076,-0.7936906603175173,0.6269961454836227,-0.1860571138290006
2018-05-31,450,0.2059212995521773,2.7789434428066366,-2.0260121065375283,-0.975962202572076,1.0482286588525163,-0.32386463820395683,0.28518566088273817,-0.3234184157208333,0.0826183157776339,0.0914685035072429,0.18623029611502878,-0.14020061799199232
2018-06-30,450,0.08125275769019014,-1.4344178274742527,1.1591924493393468,-0.9879408808919936,0.7170800679923826,-0.21354192207714923,0.07811296510002981,0.03832468918712112,0.11127780932749716,-0.03661010032626685,-0.04587262929347219,0.018618740718118445
2018-07-31,451,0.2776348448471654,0.058513993653919474,1.2178471683215326,-0.25253764208068175,0.3045028779318272,-0.040326451267154145,0.07983537120163643,-0.47169319847678376,0.4046526566165309,-0.7876151641164321,1.0033852557843614,-0.483671392403043
2018-08-31,451,0.07320538362916174,1.9501615214233052,-1.292100100976809,0.40120070690284637,-0.18124333310201735,0.036882619872894845,-0.21168657896107193,0.04102523079024234,-0.13536500538686394,0.33663054494810013,-0.2662774798079349,0.038717074802479295
2018-09-30,452,0.1944116181424803,-0.587973069471972,-0.6987125127263538,0.6391597440890942,-0.3470836289469075,1.2065869765939872,-0.7286546351962436,0.06462128464770389,-0.1573392812635361,-0.15592380379843457,0.8849714563865596,-0.5022144335163056
2018-10-31,453,0.10146651646535754,1.6103538510805713,-1.1463416358394716,0.8444633974653166,-0.8331897515212918,0.757958005364459,-0.6098314197308204,0.18098105689614305,0.5015052930495493,-0.7055289318090301,0.39998191430972124,-0.09968337534017988
2018-11-30,453,0.08925154779988542,-1.2467413215519394,1.1674658495287022,-0.20709388115386945,-0.12959780798162115,0.12520055128495527,-0.03570240441412117,0.012344535326929355,0.07228582884070742,-0.6576134779388428,0.9094174269732491,-0.3699638695138782
2018-12-31,453,0.19900886951477958,1.2496995849746813,-1.5209090565394399,-0.4760023012903063,1.0837559194809003,-0.6529272018862342,0.23411917811257996,0.18593751709083714,-0.21999959938293934,0.4484415236015052,-0.4438157329314545,0.16245924559822592
2019-01-31,453,0.06080130834692221,-0.48124483841274285,0.939861508174251,-0.8460641265433574,0.31951628129082654,0.14729487602249502,-0.12882140520899557,0.2268314898777404,-0.17631843031578537,0.16678786054819902,0.007008634642000279,-0.11404842259161525
